Gene,Protein class
A1BG,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
A1CF,Predicted intracellular proteins
A2M,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"
A2ML1,"Predicted intracellular proteins, Predicted secreted proteins"
A3GALT2,"Enzymes, Predicted membrane proteins"
A4GALT,"Enzymes, Predicted membrane proteins"
A4GNT,Predicted intracellular proteins
AAAS,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
AACS,"Enzymes, Predicted membrane proteins"
AADAC,"Enzymes, Predicted intracellular proteins"
AADACL2,Predicted secreted proteins
AADACL3,Predicted membrane proteins
AADACL4,Predicted membrane proteins
AADAT,"Enzymes, Predicted intracellular proteins"
AAED1,Predicted intracellular proteins
AAGAB,"Disease related genes, Predicted intracellular proteins"
AAK1,"Enzymes, Predicted intracellular proteins"
AAMDC,Predicted intracellular proteins
AAMP,"Plasma proteins, Predicted intracellular proteins"
AANAT,"Enzymes, Predicted intracellular proteins"
AAR2,Predicted intracellular proteins
AARD,Predicted intracellular proteins
AARS,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
AARS2,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
AARSD1,Predicted intracellular proteins
AASDH,"Predicted intracellular proteins, Predicted membrane proteins"
AASDHPPT,Predicted intracellular proteins
AASS,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
AATF,Predicted intracellular proteins
AATK,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ABAT,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ABCA1,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ABCA10,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ABCA12,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ABCA2,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ABCA3,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ABCA4,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ABCA5,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ABCA6,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
