Gene Name,GenBank Gene ID,Drug IDs
ftsI,L42023,DB00303
HDC,X54297,DB00114
GLS2,AF110330,DB00142
F13A1,M22001,DB11300; DB11311; DB11571; DB13151
NOS2,L09210,DB01017; DB01110; DB01234; DB08814; DB09237; DB11327; DB14649
HSD17B2,L11708,DB00157; DB13952; DB13953; DB13954; DB13955; DB13956
NNT,U40490,DB00157; DB09092
ADH5,M30471,DB00157; DB03017
AMT,D13811,DB00157
IDH3A,U07681,DB00157; DB06757; DB09092; DB09130
CACNA1I,AF129133,DB00381; DB00568; DB00617; DB00909; DB01118; DB04841; DB06152; DB09061
ADORA1,S45235,DB00193; DB00201; DB00277; DB00555; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB04932; DB09061; DB11757
ABL1,X16416,DB00619; DB01254; DB04868; DB06616; DB08896; DB08901; DB12010; DB12267
FCER1A,X06948,DB00043; DB00895
F8,M14113,DB00055; DB00100; DB11300; DB11312; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
PTGS1,M31822,DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01399; DB01401; DB01419; DB01435; DB01600; DB02266; DB04817; DB06725; DB06736; DB06802; DB08814; DB09061; DB09212; DB09213; DB09214; DB09216; DB11071; DB11079; DB11201; DB11323; DB13346; DB13501; DB13783
rpsD,X02543,DB00256; DB00595; DB01017; DB12329
DRD1,X55760,DB00246; DB00248; DB00334; DB00353; DB00363; DB00397; DB00408; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00734; DB00800; DB00805; DB00850; DB00875; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01403; DB01608; DB01621; DB01623; DB01624; DB04946; DB05271; DB06077; DB06216; DB14185
TMP1,J04230,DB01099
FLT4,X69878,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB12010; DB15685
SCNN1B,X87159,DB00384; DB00594
COL1A1,Z74615,DB00048; DB11338; DB12872; DB13133
TUBB1,AJ292757,DB00309; DB01229; DB01248; DB06772; DB08871
NDUFV3,X99726,DB00157; DB09270
FARS2,AF097441,DB00120
FLT1,X51602,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB10770; DB12010; DB15685
SLC7A11,AB026891,DB00138; DB00142; DB00740; DB00795; DB06151; DB11590
DHCR7,AF096305,DB00157
DHRS4,AF044127,DB00162
INSR,M10051,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB09129; DB09564; DB12010; DB12267; DB14751
embA,,DB00330
CTNS,Y15924,DB00138
RAF1,X03484,DB00398; DB08862; DB08896; DB08912; DB12010
NDUFS8,U65579,DB00157
FARSA,U07424,DB00120
TKT,X67688,DB09130
LIPT1,AB017566,DB00166
F5,M16967,DB00055; DB05777; DB11300; DB11312; DB11571; DB11572; DB13149; DB13151
PDXK,U89606,DB00165
EDNRB,M74921,DB00559; DB06268; DB06403; DB08932
NSDHL,U47105,DB00157
CHRM3,X15266,DB00185; DB00193; DB00202; DB00209; DB00246; DB00280; DB00332; DB00334; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00411; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00502; DB00517; DB00572; DB00599; DB00622; DB00725; DB00747; DB00809; DB00835; DB00934; DB00940; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB03128; DB04843; DB06153; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09300; DB11181; DB11235; DB12278; DB13720; DB14185
PKLR,AB015983,DB00119
SLC12A5,AF208159,DB00761; DB00887
F2,M17262,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01593; DB04898; DB05777; DB06404; DB06695; DB09109; DB09130; DB09228; DB09332; DB11166; DB13151; DB13152; DB14487; DB14738
FCER1G,M33195,DB00895
ALAD,M13928,DB00855
HSD3B1,M27137,DB00157; DB01108; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
SLC7A4,AJ000730,DB00123
GLRB,U33267,DB00145; DB00431
NA,K01150,DB00558; DB06614
MMP9,J05070,DB00143; DB01017; DB01197; DB01296; DB01593; DB14487; DB14533; DB14548
HSD3B2,M67466,DB00157; DB01108
P4HA1,M24486,DB00126; DB01275
CNR1,X54937,DB00470; DB00486; DB06155; DB09061
AGTR1,M91464,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB08822; DB11842
PTGER1,L22647,DB00297; DB00429; DB00770; DB00905; DB00917; DB00929; DB01088
DLAT,Y00978,DB00157
MS4A1,X12530,DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11988
NOS1,U17327,DB00843; DB01221; DB03147; DB03247; DB09241
LDHB,X13794,DB00157; DB09118
ACAT1,D90228,DB00795; DB09061
PLA2G10,U95301,DB13893; DB13894
PPARA,L02932,DB00132; DB00159; DB00197; DB00313; DB00328; DB00412; DB00573; DB00636; DB01039; DB01050; DB01118; DB01241; DB01393; DB01708; DB02266; DB03017; DB03193; DB03756; DB03796; DB04224; DB09064; DB09213; DB09422; DB11133; DB11605; DB13873; DB13961
MCCC2,AB050049,DB00121
AASS,AF229180,DB00142; DB00157
NR0B1,U31929,DB01234; DB14649
GHR,X06562,DB00052; DB00082; DB09098; DB15093
SEC14L4,AY158085,DB00163
HPRT1,M31642,DB01033; DB01632
RXRB,X63522,DB00210; DB00307; DB00412; DB00459; DB00523; DB00755; DB00799; DB01393; DB03756
CSAD,AF116546,DB00114; DB00151
TPH2,AY098914,DB12095
NDUFA10,AF087661,DB00157
CKB,M16451,DB00148
CD52,X62466,DB00087
HTR4,Y12505,DB00604; DB00904; DB01079; DB01233; DB06480
FTL,M11147,DB00893; DB09517; DB13995
PLOD1,L06419,DB00126
PKM,M23725,DB00119; DB09130
NDUFS5,AF047434,DB00157
