"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"98"	"96"	"24.55"	"4"
"KRAS"	"65"	"61"	"15.6"	"4"
"ARID1A"	"28"	"30"	"7.67"	"3"
"SMAD4"	"24"	"28"	"7.16"	"3"
"IDH1"	"28"	"26"	"6.65"	"3"
"PIK3CA"	"21"	"19"	"4.86"	"4"
"ARID2"	"21"	"18"	"4.6"	"2"
"PBRM1"	"19"	"18"	"4.6"	"3"
"BAP1"	"26"	"16"	"4.09"	"3"
"CDKN2A"	"15"	"15"	"3.84"	"3"
"NF1"	"17"	"14"	"3.58"	"2"
"KMT2C"	"17"	"11"	"2.81"	"3"
"ERBB2"	"13"	"10"	"2.56"	"1"
"EPHA2"	"16"	"10"	"2.56"	"2"
"ERBB3"	"14"	"9"	"2.3"	"1"
"ATM"	"18"	"9"	"2.3"	"1"
"ELF3"	"9"	"9"	"2.3"	"2"
"NRAS"	"10"	"8"	"2.05"	"1"
"PTEN"	"9"	"8"	"2.05"	"2"
"APC"	"13"	"7"	"1.79"	"1"
"STK11"	"9"	"7"	"1.79"	"1"
"RBM10"	"12"	"7"	"1.79"	"1"
"SF3B1"	"13"	"6"	"1.53"	"1"
"LRP1B"	"26"	"6"	"1.53"	"1"
"IDH2"	"5"	"5"	"1.28"	"2"
"TGFBR2"	"5"	"5"	"1.28"	"1"
"AR"	"9"	"5"	"1.28"	"1"
"PCDH17"	"6"	"5"	"1.28"	"1"
"FBXW7"	"8"	"5"	"1.28"	"1"
"GNAS"	"11"	"4"	"1.02"	"1"
"KDM6A"	"6"	"4"	"1.02"	"1"
"PIK3R1"	"5"	"4"	"1.02"	"1"
"CDH11"	"8"	"3"	"0.77"	"1"
"TRRAP"	"7"	"3"	"0.77"	"1"
"BCOR"	"5"	"3"	"0.77"	"1"
"FGFR2"	"8"	"3"	"0.77"	"1"
"CLTC"	"8"	"3"	"0.77"	"1"
"KEAP1"	"1"	"2"	"0.51"	"1"
"NCOR1"	"2"	"2"	"0.51"	"1"
"ARAF"	"3"	"2"	"0.51"	"1"
"KMT2D"	"16"	"2"	"0.51"	"1"
"EXT2"	"3"	"2"	"0.51"	"1"
"MAP2K4"	"2"	"2"	"0.51"	"1"
"BIRC6"	"11"	"2"	"0.51"	"1"
"RNF43"	"2"	"2"	"0.51"	"1"
