translocation	effector_gene	cancer_acronym	source
ABL1__BCR	ABL1	ALL;AML;TCALL;CLL;CML	biomarker;validated;cgc
ABL1__NUP214	ABL1	ALL;AML;TCALL;CML	cgc
ABL1__ETV6	ABL1	ALL;TCALL;BRCA;LK,LY;CML;MDS;FIBS-PR	cgc
ABL2__ETV6	ABL2	AML;LK,LY;BRCA;MDS;FIBS-PR	cgc
ACKR3__HMGA2	ACKR3	SG	cgc
ACSL3__ETV1	ACSL3	PRAD	cgc
ACSL6__ETV6	ACSL6	AML;BRCA;AEL;LK,LY;MDS;FIBS-PR	cgc
.__AKT3	AKT3	BRCA	biomarker
AKT3__MAGI3	AKT3	BRCA	validated
ALDH2__HMGA2	ALDH2	SG	cgc
.__ALK	ALK	IM;GB;THCA;HEMATO;NSCLC;LY;COREAD	biomarker
ALK__ATIC	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__C2orf22	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__C2orf44	ALK	IM;CM;NB;NSCLC;ALCL;COREAD	cgc
ALK__CARS	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__CLTC	ALK	IM;CM;NB;NSCLC;ALCL;R	cgc
ALK__DCTN1	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__EML4	ALK	IM;ALCL;CM;NSCLC;NB	validated;cgc
ALK__HIP1	ALK	IM;CM;NB;NSCLC;ALCL;CML	cgc
ALK__KIF5B	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__KLC1	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__MSN	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__MYH9	ALK	ALCL	cgc
ALK__NPM1	ALK	IM;APML;AML;CM;NB;NSCLC;ALCL;NHLY	cgc
ALK__PPFIBP1	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__RANBP2	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__RNF213	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__SEC31A	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__STRN	ALK	IM;CM;NB;L;NSCLC;ALCL;TH	cgc
ALK__TFG	ALK	IM;CM;CS;NB;NSCLC;ALCL;TH	cgc
ALK__TPM3	ALK	IM;CM;NB;NSCLC;ALCL;TH	cgc
ALK__TPM4	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ALK__TPR	ALK	IM;CM;NB;NSCLC;ALCL;TH	cgc
ALK__VCL	ALK	IM;ALCL;CM;NSCLC;NB	cgc
ARID1A__MAST2	ARID1A	RCCC;OVCC;BRCA	cgc
ARNT__ETV6	ARNT	AML;LK,LY;BRCA;MDS;FIBS-PR	cgc
ATF1__EWSR1	ATF1	ALL;S;CCS;MESO;EWS;MYEP;CM;DSRCT;FH	cgc
ATL__TRA	ATL	TCALL	cgc
BCL10__IGH	BCL10	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCL11A__IGH	BCL11A	CLL	cgc
BCL11A.LHX4__IGH	BCL11A.LHX4	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCL11B__TLX3	BCL11B	TCALL	cgc
.__BCL2	BCL2	SOLID;MM;AML;CLL;MYMA;DLBCL;NHLY;LY	biomarker
BCL2__IGH	BCL2	ALL;BLY;MM;BCL;CLL;MALT;DLBCL;NHLY	validated;cgc
BCL2__IGK	BCL2	DLBCL	validated
BCL2__IGL	BCL2	DLBCL	validated
BCL3__IGH	BCL3	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCL5__MYC	BCL5	BLY;CLL	cgc
.__BCL6	BCL6	DLBCL	biomarker
BCL6__CIITA	BCL6	BCL;CLL;NHLY;HLY	cgc
BCL6__EIF4A2	BCL6	CLL;NHLY	cgc
BCL6__HIST1H4I	BCL6	CLL;NHLY	cgc
BCL6__HSP90AA1	BCL6	CLL;NHLY	cgc
BCL6__HSP90AB1	BCL6	NHLY	cgc
BCL6__HSPCB	BCL6	CLL;NHLY	cgc
BCL6__IGH	BCL6	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCL6__IGloci	BCL6	CLL;NHLY	cgc
BCL6__IKZF1	BCL6	ALL;DLBCL	cgc
BCL6__IL21R	BCL6	CLL;NHLY	cgc
BCL6__LCP1	BCL6	CLL;NHLY	cgc
BCL6__NACA	BCL6	CLL;NHLY	cgc
BCL6__PIM1	BCL6	CLL;NHLY	cgc
BCL6__POU2AF1	BCL6	CLL;NHLY	cgc
BCL6__RHOH	BCL6	CLL;NHLY	cgc
BCL6__SRSF3	BCL6	CLL;NHLY;FL	cgc
BCL6__TFRC	BCL6	CLL;NHLY	cgc
BCL6__ZNFN1A1	BCL6	CLL;NHLY	cgc
BCL7A__MYC	BCL7	BLY;CLL;NHLY	cgc
BCL8__IGH	BCL8	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCL9__IGH	BCL9	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCL9__IGL	BCL9	ALL;BLY	cgc
BRAF__SLC45A3	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
.__BRAF	BRAF	OV;CM;LUAD;PRAD	biomarker
AGTRAP__BRAF	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
AKAP9__BRAF	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__CEP88	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__CEP89	BRAF	CM	cgc
BRAF__CLCN6	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__FAM131B	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__FCHSD1	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__GNAI1	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__KIAA1549	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__LSM14A	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__MKRN1	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__RNF130	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRAF__SND1	BRAF	PIA;PRAD;CM;PAAC;CH;NSCLC;OV;ST;TH;COREAD	cgc
BRD3__NUTM1	BRD3	NMC	cgc
BRD4__C15orf55	BRD4	NMC	biomarker
BRD4__NUTM1	BRD4	NMC	cgc
C15orf55__CIITA	C15orf55	BCL;HLY	cgc
C15orf65__CIITA	C15orf65	BCL;HLY	cgc
CAMTA1__WWTR1	CAMTA1	AS	cgc
CANT1__ETV4	CANT1	EWS;PRAD	cgc
CBFB__MYH11	CBFB	AML	cgc
CCNB1IP1__HMGA2	CCNB1IP1	SG	cgc
CCND1__FSTL3	CCND1	ALL;CLL;BRCA	validated;cgc
CCND1__IGH	CCND1	ALL;BLY;MM;BCL;CLL;BRCA;MALT;NHLY	validated;cgc
CCND2__IGK	CCND2	ALL;AML;MM;CLL;DLBCL	validated
CCND2__IGL	CCND2	ALL;BLY;MM;AML;CLL;DLBCL;NHLY	validated;cgc
CCND2__TCRA	CCND2	ALL;AML;MM;CLL;DLBCL	validated
CCND2__TCRD	CCND2	ALL;AML;MM;CLL;DLBCL	validated
CCND3__IGH	CCND3	MM	cgc
CD274__CIITA	CD274	BCL;HLY	cgc
CDK6__MLLT10	CDK6	ALL	cgc
CDX2__ETV6	CDX2	AML;LK,LY;BRCA;MDS;FIBS-PR	cgc
CHIC2__ETV6	CHIC2	AML;LK,LY;BRCA;MDS;FIBS-PR	cgc
CIC__DUX4L1	CIC	S;G	cgc
CIC__FOXO4	CIC	S;G	cgc
COX6C__HMGA2	COX6C	SG	cgc
CREBBP__KAT6A	CREBBP	ALL;AML;NHLY;DLBCL	cgc
CREBBP__KAT6B	CREBBP	AML	cgc
CREBBP__MORF	CREBBP	ALL;AML;NHLY;DLBCL	cgc
CRLF2__IGH	CRLF2	ALL;BLY;MM;BCL;CLL;MALT;CANCER;NHLY	cgc
CRLF2__P2RY8	CRLF2	ALL;CANCER	cgc
CTNNB1__PLAG1	CTNNB1,PLAG1	HB;CANCER;OV;SG;COREAD;SGA	cgc
CLDN7__CUX1	CUX1	ED;AML;CM;CANCER;COREAD;MDS	cgc
DDX10__NUP98	DDX10,NUP98	AML	cgc
DDX5__ETV4	DDX5	EWS;PRAD	cgc
DDX6__IGH	DDX6	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
EBF1__HMGA2	EBF1	SG	cgc
ELF4__ERG	ELF4	AML;EWS;PRAD	cgc
.__ERBB4	ERBB4	LUAD	biomarker
ERG__EWSR1	EWSR1	ALL;S;CCS;MESO;EWS;PRAD;MYEP;AML;DSRCT	cgc
CREB1__EWSR1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT;FH	cgc
DDIT3__EWSR1	EWSR1	ALL;S;CCS;LIP;MESO;EWS;MYEP;DSRCT	cgc
ETV1__EWSR1	EWSR1	ALL;S;CCS;MESO;EWS;PRAD;MYEP;DSRCT	cgc
ETV4__EWSR1	EWSR1	ALL;S;CCS;MESO;EWS;PRAD;MYEP;DSRCT	cgc
EWSR1__FEV	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__FLI1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__NFATC1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__NFATC2	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__NR4A3	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;CS;DSRCT	cgc
EWSR1__PATZ1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__PBX1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__POU5F1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__SMARCA5	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__SP3	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__WT1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;WT;DSRCT	cgc
EWSR1__YY1	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__ZNF278	EWSR1	EWS	cgc
EWSR1__ZNF384	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
EWSR1__ZNF444	EWSR1	ALL;S;CCS;MESO;EWS;MYEP;DSRCT	cgc
FCRL4__IGH	FCRL4	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCR__FGFR1	FGFR1	ALL;AML;HEMATO;CML;NHLY;SGA	cgc
CNTRL__FGFR1	FGFR1	NHLY;HEMATO;SGA	cgc
FGFR1__FGFR1OP	FGFR1	NHLY;HEMATO	cgc
FGFR1__FOP	FGFR1	NHLY;HEMATO;SGA	cgc
FGFR1__ZMYM2	FGFR1	NHLY;HEMATO;SGA	cgc
FGFR1__ZNF198	FGFR1	NHLY;HEMATO	cgc
FGFR1__PLAG1	FGFR1	NHLY;HEMATO;SGA	cgc
.__FGFR2	FGFR2	BT	biomarker
BAIAP2L1__FGFR3	FGFR3	BLCA	validated
ETV6__FGFR3	FGFR3	MM;BRCA;CTCL;LK,LY;BLCA;MDS;FIBS-PR	cgc
FGFR3__IGH	FGFR3	ALL;BLY;MM;BCL;CLL;CTCL;MALT;BLCA;NHLY	cgc
FGFR3__TACC3	FGFR3	GBM;BLCA	validated
FHIT__HMGA2	FHIT	SG	cgc
ERG__FUS	FUS	LIP;EWS;PRAD;MFH;AML;FH	cgc
ATF1__FUS	FUS	LIP;EWS;MFH;AML;CM;FH	cgc
CREB3L1__FUS	FUS	MFH;AML;LIP;EWS;FH	cgc
CREB3L2__FUS	FUS	MFH;AML;LIP;EWS;FH	cgc
DDIT3__FUS	FUS	MFH;AML;LIP;EWS;FH	cgc
FEV__FUS	FUS	MFH;AML;LIP;EWS;FH	cgc
FUS__NFATC2	FUS	MFH;AML;LIP;EWS;FH	cgc
ERG__HERPUD1	HERPUD1	AML;EWS;PRAD	cgc
HLF__TCF3	TCF3	ALL	cgc
ETV1__HMGN2P46	HMGN2P46	EWS;PRAD	cgc
ETV1__HNRNPA2B1	HNRNPA2B1	PRAD	cgc
ETV1__HNRNPA2B1.ACSL3	HNRNPA2B1.ACSL3	EWS;PRAD	cgc
HOX11__TRB	HOX11	TCALL	cgc
HOX11__TRD	HOX11	LK	cgc
IGH__IRF4	IRF4	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
BCR__JAK2	JAK2	ALL;AML;CML;HEMATO	cgc
ETV6__JAK2	JAK2	ALL;AML;BRCA;HEMATO;LK,LY;CML;MDS;FIBS-PR	cgc
JAK2__PCM1	JAK2	ALL;AML;CML;HEMATO;TH	cgc
EP300__KAT6A	KAT6A	ALL;AML;PA;BRCA;DLBCL;COREAD	cgc
IGK__KDSR	KDSR	BLY;NHLY	cgc
ETV4__KLK2	KLK2	EWS;PRAD	cgc
LCK__TRB	LCK	TCALL	cgc
HMGA2__LHFP	LHFP	SG	cgc
LMO1__TRD	LMO1	LK;TCALL;NB	cgc
LMO2__TRD	LMO2	LK;TCALL	cgc
HMGA2__LPP	LPP	LK;SG	cgc
C12orf9__LPP	LPP	LK	cgc
LYL1__TRB	LYL1	TCALL	cgc
IGH__MAF	MAF	MM	cgc
IGH__MAFB	MAFB	MM	cgc
BIRC3__MALT1	MALT1	MM;MCL;CLL;MALT	cgc
CRTC1__MAML2	MAML2	SGM	cgc
CRTC3__MAML2	MAML2	SGM	cgc
ETV6__MDS2	MDS2	LK,LY;BRCA;MDS;FIBS-PR	cgc
ETV6__MECOM	MECOM	AML;BRCA;LK,LY;CML;MDS;FIBS-PR	cgc
MECOM__PRDM16	MECOM	AML;CML;MDS	cgc
MECOM__RPN1	MECOM	AML;CML;MDS	cgc
MECOM__RUNX1	RUNX1	ALL;AML;TCALL;CML;MDS	cgc
.__MLL	MLL	ALL;AML;MDS	biomarker
ABI1__MLL	MLL	ALL;AML	cgc
ABI2__MLL	MLL	ALL;AML	cgc
ACTN4__MLL	MLL	ALL;AML	cgc
