gene	alteration	cancer_acronym	source
ABCB1	mutation	GBM	in_silico_predicted
ABCB4	mutation	HC-PR	predisposing
ABL1	mutation	ALL	"cgc,biomarker,validated"
ABL1	mutation	CML	"cgc,biomarker,validated"
ABL1	mutation	TCALL	cgc
ABL2	mutation	LUSC	in_silico_predicted
ACACA	mutation	MM	in_silico_predicted
ACACA	mutation	UCEC	in_silico_predicted
ACAD8	mutation	GBM	in_silico_predicted
ACAD8	mutation	HNSC	in_silico_predicted
ACAD8	mutation	LUAD	in_silico_predicted
ACAD8	mutation	LUSC	in_silico_predicted
ACAD8	mutation	STAD	in_silico_predicted
ACO1	mutation	BRCA	in_silico_predicted
ACO1	mutation	CM	in_silico_predicted
ACO1	mutation	COREAD	in_silico_predicted
ACO1	mutation	ESCA	in_silico_predicted
ACO1	mutation	LGG	in_silico_predicted
ACO1	mutation	LUAD	in_silico_predicted
ACO1	mutation	LUSC	in_silico_predicted
ACO1	mutation	OV	in_silico_predicted
ACO1	mutation	RCCC	in_silico_predicted
ACSL3	mutation	CM	in_silico_predicted
ACSL6	mutation	BLCA	in_silico_predicted
ACSL6	mutation	BRCA	in_silico_predicted
ACSL6	mutation	COREAD	in_silico_predicted
ACSL6	mutation	ESCA	in_silico_predicted
ACSL6	mutation	LUSC	in_silico_predicted
ACSL6	mutation	STAD	in_silico_predicted
ACTB	mutation	BLCA	in_silico_predicted
ACTB	mutation	BRCA	in_silico_predicted
ACTB	mutation	DLBCL	in_silico_predicted
ACTB	mutation	HNSC	in_silico_predicted
ACTB	mutation	MM	in_silico_predicted
ACTB	mutation	UCEC	in_silico_predicted
ACTG1	mutation	BLCA	in_silico_predicted
ACTG1	mutation	CLL	in_silico_predicted
ACTG1	mutation	CM	in_silico_predicted
ACTG1	mutation	HNSC	in_silico_predicted
ACTG1	mutation	LUAD	in_silico_predicted
ACTG1	mutation	OV	in_silico_predicted
ACTG1	mutation	PRAD	in_silico_predicted
ACTG1	mutation	RCCC	in_silico_predicted
ACTG1	mutation	UCEC	in_silico_predicted
ACTG2	mutation	CM	in_silico_predicted
ACTG2	mutation	LUAD	in_silico_predicted
ACTG2	mutation	LUSC	in_silico_predicted
ACTG2	mutation	STAD	in_silico_predicted
ACVR1	mutation	G	cgc
ACVR1B	mutation	BRCA	in_silico_predicted
ACVR1B	mutation	CM	in_silico_predicted
ACVR1B	mutation	COREAD	in_silico_predicted
ACVR1B	mutation	ESCA	in_silico_predicted
