gene	gene_MoA
ABCB1	Act
ABCB4	ambiguous
ABL1	Act
ABL2	Act
ACACA	Act
ACAD8	Act
ACO1	LoF
ACSL3	Act
ACSL6	Act
ACTB	Act
ACTG1	Act
ACTG2	Act
ACVR1	ambiguous
ACVR1B	LoF
ACVR2A	LoF
ADAM10	Act
ADCY1	Act
AFF4	Act
AHCTF1	ambiguous
AHR	Act
AKT1	Act
AKT2	Act
ALK	Act
ANK3	Act
APAF1	LoF
APC	LoF
AQR	Act
AR	Act
ARAF	Act
ARAP3	LoF
ARFGAP1	ambiguous
ARFGAP3	LoF
ARFGEF1	ambiguous
ARFGEF2	Act
ARHGAP26	Act
ARHGAP29	LoF
ARHGAP35	LoF
ARHGEF2	Act
ARHGEF6	LoF
ARID1A	LoF
ARID1B	LoF
ARID2	LoF
ARID4A	ambiguous
ARID4B	LoF
ARID5B	LoF
ARNTL	LoF
ASH1L	Act
ASPM	Act
ASXL1	LoF
ATF1	Act
ATF2	ambiguous
ATIC	Act
ATM	LoF
ATP1A1	ambiguous
ATP6AP2	LoF
ATR	LoF
ATRX	LoF
AXIN1	LoF
AXIN2	LoF
B2M	LoF
BAP1	LoF
BARD1	LoF
BAX	LoF
BAZ2B	Act
BCL10	ambiguous
BCL11A	Act
BCL6	Act
BCLAF1	Act
BCOR	LoF
BIRC3	Act
BLM	LoF
BMPR1A	LoF
BMPR2	LoF
BPTF	Act
BRAF	Act
BRCA1	LoF
BRCA2	LoF
BRD2	ambiguous
BRIP1	LoF
BRWD1	Act
BTK	Act
BUB1B	LoF
C15orf55	Act
CAD	Act
CALR	ambiguous
CAPN7	ambiguous
CARD11	Act
CARM1	Act
CASP1	LoF
CASP10	LoF
CASP8	LoF
CAT	Act
CBFB	Act
CBL	Act
CBLB	LoF
CBLC	LoF
CCAR1	LoF
CCND1	Act
CCT5	Act
CD36	ambiguous
CD79A	Act
CD79B	Act
CDC27	LoF
CDC73	LoF
CDH1	LoF
CDK12	LoF
CDK4	Act
CDK6	Act
CDKN1A	LoF
CDKN1B	LoF
CDKN2A	LoF
CDKN2B	LoF
CDKN2C	LoF
CEBPA	ambiguous
CEP290	LoF
CHD1L	ambiguous
CHD2	LoF
CHD3	LoF
CHD4	Act
CHD6	Act
CHD8	LoF
CHD9	Act
CHEK2	LoF
CIC	LoF
CIITA	Act
CLASP2	LoF
CLCC1	Act
CLCN2	ambiguous
CLOCK	LoF
CLSPN	LoF
CLTC	Act
CNOT1	LoF
CNOT3	Act
CNOT4	ambiguous
CNTNAP1	ambiguous
COL1A1	Act
COPS2	LoF
COPS3	ambiguous
COPS4	ambiguous
COPS5	ambiguous
COPS6	ambiguous
CR1	ambiguous
CRBN	LoF
CREBBP	LoF
CRLF2	Act
CRNKL1	Act
CRTC3	Act
CSDA	Act
CSDE1	LoF
CSF1R	Act
CSF3R	Act
CSNK1A1	ambiguous
CSNK1G3	LoF
CSNK2A1	LoF
CTCF	LoF
CTNNB1	Act
CTNND1	LoF
CTTN	Act
CUL1	LoF
CUL2	LoF
CUL3	LoF
CUL4A	LoF
CUX1	ambiguous
CYLD	LoF
CYTH4	ambiguous
DAXX	LoF
DCC	LoF
DDB1	ambiguous
DDB2	LoF
DDR2	Act
DDX3X	LoF
DDX5	Act
